Sea_area,Observation Date,Temperature,Salinity,Dissolved Oxygen,Phosphate Phosphorus,Nitrous Acid Nitrogen,Nitric Acid Nitrogen,Silicic Acid Silicon
서해,2004-08,30.1,31.878,4.45,0.1,0.16,1.82,4.58
서해,2004-08,29.46,31.895,,,,,
동해,2004-08,25.38,33.458,4.19,,,,
서해,2004-08,29.55,31.72,4.42,0.22,0.13,1.58,5.11
동해,2004-08,25.6,33.138000000000005,4.48,0.1,0.07,3.5,2.04
서해,2004-08,29.46,31.6,5.94,,,,
동해,2004-08,23.63,33.324,4.49,,,,
동해,2004-08,21.6,33.325,4.01,0.23,0.07,3.5,2.43
서해,2004-08,30.5,31.236,4.34,,,,
동해,2004-08,22.92,32.814,4.97,,,,
서해,2004-08,28.36,32.259,,,,,
서해,2004-08,27.25,32.263000000000005,4.93,0.15,0.08,0.86,5.54
서해,2004-08,25.47,32.354,,,,,
서해,2004-08,26.83,31.985,4.78,5.93,0.15,1.48,5.56
서해,2004-08,29.67,31.232,,,,,
서해,2004-08,28.96,31.478,4.64,1.23,0.18,1.46,5.31
서해,2004-08,28.94,31.188,,,,,
동해,2004-08,18.85,33.677,4.82,,,,
동해,2004-08,18.86,33.296,4.73,0.05,0.07,4.21,2.18
동해,2004-08,19.95,33.065,5.68,,,,
동해,2004-08,22.8,32.933,4.81,0.05,0.29,3.29,1.57
동해,2004-08,25.64,33.135,4.69,,,,
동해,2004-08,25.17,33.57,4.66,0.06,0.21,4.07,2.29
동해,2004-08,25.38,33.599000000000004,4.2,,,,
동해,2004-08,26.72,33.635,4.21,0.11,0.21,3.36,1.89
동해,2004-08,26.87,33.565,4.05,,,,
동해,2004-08,26.6,33.759,4.07,0.16,0.36,6.07,1.64
동해,2004-08,26.9,33.532,4.18,,,,
동해,2004-08,26.5,33.553000000000004,4.46,0.05,0.14,8.43,15.75
동해,2004-08,25.87,32.995,4.3,,,,
동해,2004-08,26.67,33.664,4.48,,,,
동해,2004-08,25.89,33.576,4.57,,0.21,11.93,18.11
동해,2004-08,26.21,33.626999999999995,4.1,,,,
동해,2004-08,26.31,33.616,4.21,0.21,0.21,11.21,
동해,2004-08,27.1,33.44,4.53,,,,
동해,2004-08,26.96,33.53,4.35,0.07,0.07,17.79,
동해,2004-08,26.72,33.34,4.46,,,,
동해,2004-08,26.36,33.671,4.07,0.06,0.07,13.5,
동해,2004-08,26.4,33.623000000000005,4.15,,,,
동해,2004-08,25.85,33.674,4.37,0.09,0.14,3.84,18.25
동해,2004-08,24.7,33.388000000000005,4.48,,,,
동해,2004-08,25.05,33.428000000000004,4.58,,,,
동해,2004-08,26.14,33.438,4.5,,,,
동해,2004-08,25.59,33.489000000000004,4.83,,,,
동해,2004-08,25.7,33.312,4.46,,,,
동해,2004-08,26.48,33.534,4.21,0.17,0.21,6.19,16.93
동해,2004-08,25.99,33.706,4.31,,,,
동해,2004-08,26.31,33.709,4.55,0.02,0.14,7.2,14.61
동해,2004-08,26.6,33.681,4.34,,,,
동해,2004-08,26.38,33.711,4.11,0.19,0.14,4.92,16.32
동해,2004-08,26.28,33.622,4.11,,,,
동해,2004-08,26.71,33.63,4.02,0.09,0.07,5.59,16.04
동해,2004-08,27.05,32.54,4.22,0.15,0.14,4.16,
동해,2004-08,27.87,32.14,4.11,,,,
동해,2004-08,27.43,32.581,4.21,0.09,0.07,4.72,17.71
동해,2004-08,27.2,32.776,4.14,,,,
동해,2004-08,26.62,33.014,4.46,0.18,,3.91,17.54
동해,2004-08,26.24,33.1,4.11,,,,
동해,2004-08,25.83,32.995,4.11,,,,
동해,2004-08,25.1,32.689,4.42,,,,
동해,2004-08,25.02,32.623000000000005,4.12,,,,
동해,2004-08,23.52,33.352,4.32,0.1,0.07,5.47,18.64
동해,2004-08,22.36,33.264,4.21,,,,
동해,2004-08,23.36,32.123000000000005,4.47,0.15,0.07,3.91,18.39
동해,2004-08,23.63,32.04,4.11,,,,
동해,2004-08,26.12,32.03,4.84,,,,
동해,2004-08,24.76,32.11,4.25,0.19,,3.94,18.25
동해,2004-08,23.4,32.977,4.2,,,,
동해,2004-08,24.9,32.48,4.21,0.18,0.07,4.31,16.71
남해,2005-08,23.55,31.747,5.27,0.35,0.13,7.58,8.3
남해,2005-08,26.71,29.861,5.26,,,,
남해,2005-08,27.04,29.817,5.21,0.32,0.12,5.28,9.97
서해,2005-08,19.53,31.048,5.26,0.55,0.47,4.14,3.13
서해,2005-08,21.24,31.236,5.75,0.4,0.31,3.83,4.99
서해,2005-08,23.09,31.288,5.87,0.26,0.06,1.38,3.23
서해,2005-08,24.93,31.69,,,,,
서해,2005-08,24.24,30.69,5.78,0.28,0.01,1.31,1.92
서해,2005-08,25.43,31.374,,,,,
서해,2005-08,26.05,31.545,5.26,0.28,0.08,0.92,1.97
서해,2005-08,26.85,31.407,4.92,0.47,0.13,1.04,1.77
서해,2005-08,27.32,32.132,7.02,,,,
서해,2005-08,27.15,32.085,4.89,0.55,0.15,0.93,1.42
서해,2005-08,27.15,31.711,,,,,
서해,2005-08,26.66,31.558000000000003,5.17,0.36,0.15,1.33,1.94
서해,2005-08,26.36,31.81,4.82,0.28,0.08,1.36,2.34
서해,2005-08,26.76,31.854,5.19,0.28,0.07,1.22,2.2
서해,2005-08,26.21,31.678,,,,,
서해,2005-08,25.69,32.042,5.1,0.25,0.13,1.96,4.7
서해,2005-08,23.66,30.64,,,,,
서해,2005-08,24.01,30.174,5.7,0.37,0.2,2.22,9.84
남해,2005-08,28.61,29.864,4.85,0.31,0.21,5.4,8.0
남해,2005-08,28.27,30.204,5.02,,,,
남해,2005-08,27.36,30.698,5.62,0.45,0.21,8.83,10.1
남해,2005-08,25.44,31.491,7.26,,,,
동중국해,2005-08,28.9,32.47,8.24,0.28,0.2,0.82,1.02
남해,2005-08,24.68,31.834,5.57,0.1,0.65,12.19,13.15
남해,2005-08,26.01,31.392,5.63,,,,
남해,2005-08,24.67,32.033,5.72,,,,
동중국해,2005-08,28.39,30.52,7.42,0.55,0.47,1.97,2.7
남해,2005-08,24.75,30.238000000000003,4.82,,,,
남해,2005-08,27.9,30.328000000000007,4.7,0.19,0.51,5.39,8.84
동중국해,2005-08,28.43,30.37,6.31,0.19,0.11,6.89,2.49
남해,2005-08,27.95,30.186,5.02,,,,
동중국해,2005-08,27.72,30.22,7.54,0.18,0.1,1.53,3.33
남해,2005-08,29.01,29.868,5.42,,,,
남해,2005-08,28.67,30.103,5.55,2.17,0.23,3.67,6.78
동중국해,2005-08,27.83,30.36,6.6,0.33,0.25,2.08,3.59
남해,2005-08,27.02,30.412,5.58,,,,
동중국해,2005-08,27.5,30.53,7.46,0.27,0.19,3.04,5.2
동중국해,2005-08,27.4,30.03,7.09,,,,
남해,2005-08,27.15,31.114,5.36,0.13,0.26,3.89,7.79
남해,2005-08,26.36,30.964,5.2,,,,
동해,2005-08,15.06,33.359,6.94,0.05,0.18,1.57,3.21
남해,2005-08,25.05,32.12,5.49,0.12,0.2,0.9,11.14
동중국해,2005-08,27.4,30.03,7.09,,,,
동해,2005-08,20.76,32.794000000000004,5.35,,,,
남해,2005-08,24.85,26.923,5.42,,,,
동해,2005-08,21.14,32.551,5.67,0.11,0.11,0.83,8.59
남해,2005-08,24.97,32.214,5.06,,,,
동중국해,2005-08,27.15,29.98,7.01,0.32,0.24,3.67,1.49
남해,2005-08,24.64,32.032,5.35,,,,
동해,2005-08,26.41,32.421,5.43,,,,
남해,2005-08,25.68,31.396,5.66,0.05,0.28,7.47,9.8
동중국해,2005-08,27.13,29.41,6.43,,,,
남해,2005-08,25.68,31.396,5.66,0.05,0.28,7.47,9.8
남해,2005-08,27.86,30.737,5.82,,,,
남해,2005-08,27.3,30.966,4.63,0.03,0.47,4.44,5.68
남해,2005-08,27.3,30.966,4.63,0.03,0.47,4.44,5.68
동해,2005-08,26.83,32.196,4.51,,,,
동중국해,2005-08,27.41,28.82,7.01,0.46,0.38,4.46,1.15
남해,2005-08,27.71,29.118,4.67,,,,
동해,2005-08,24.14,32.076,5.21,0.03,0.1,0.98,8.66
남해,2005-08,27.6,29.167,4.77,0.07,0.38,6.39,6.29
동해,2005-08,20.58,32.714,5.91,,,,
동해,2005-08,19.65,33.101,6.21,0.06,0.05,0.82,1.99
동해,2005-08,19.48,33.706,6.24,,,,
동중국해,2005-08,25.47,31.35,7.21,0.55,0.47,4.0,1.52
동해,2005-08,19.2,33.666,,,,,
동중국해,2005-08,25.62,31.167,7.83,0.48,0.4,5.72,7.75
동중국해,2005-08,26.41,31.448,,0.45,0.37,3.35,0.76
동중국해,2005-08,27.42,31.239,6.84,0.29,0.2,0.88,0.93
동중국해,2005-08,27.88,29.841,5.28,0.26,0.18,2.65,1.13
동중국해,2005-08,27.85,30.353,5.15,0.21,0.13,1.02,2.78
동중국해,2005-08,28.18,30.866,6.76,0.3,0.22,0.43,2.69
동중국해,2005-08,28.16,31.868,6.18,0.17,0.08,1.07,1.26
동중국해,2005-08,28.34,32.973,6.06,0.22,0.14,2.31,1.36
동중국해,2005-08,28.59,33.028,6.76,0.38,0.3,3.17,1.44
동중국해,2005-08,28.91,32.681,8.37,0.18,0.1,2.19,1.2
동중국해,2005-08,29.11,33.36,6.27,0.35,0.27,1.48,1.35
동중국해,2005-08,29.26,32.571,7.13,0.74,0.66,6.04,1.06
동중국해,2005-08,29.11,32.912,7.46,,,,
동중국해,2005-08,28.96,33.207,7.05,0.22,0.14,0.51,
동중국해,2005-08,27.51,32.33,6.55,,,,
동중국해,2005-08,27.39,32.9,6.6,0.3,0.22,1.08,1.49
동중국해,2005-08,27.66,31.024,6.97,,,,
동중국해,2005-08,27.04,31.544,6.88,0.3,0.22,0.43,2.54
동중국해,2005-08,27.4,33.087,6.43,,,,
남해,2005-08,27.75,29.664,4.65,0.03,0.99,2.71,5.54
남해,2005-08,28.33,29.616,4.72,,,,
동중국해,2005-08,26.5,31.919,7.42,0.47,0.39,2.66,0.9
남해,2005-08,28.73,29.53,4.76,0.03,1.13,0.47,7.43
동중국해,2005-08,27.11,31.439,7.09,0.4,0.32,1.85,1.08
남해,2005-08,28.88,29.914,4.72,,,,
동해,2005-08,22.51,33.645,,,,,
동해,2005-08,22.13,33.339,5.23,,,,
동해,2005-08,21.9,33.601,5.33,0.04,0.08,0.81,1.86
동해,2005-08,21.9,33.601,5.33,0.04,0.08,0.81,1.86
동해,2005-08,19.29,33.609,6.34,,,,
동해,2005-08,19.79,33.638000000000005,5.28,0.07,0.03,0.71,6.24
남해,2005-08,29.62,32.493,4.63,0.13,0.28,4.88,3.09
동해,2005-08,20.71,32.673,6.16,,,,
남해,2005-08,29.24,30.644,4.68,,,,
동해,2005-08,23.31,32.273,4.93,0.14,0.18,0.5,5.97
남해,2005-08,29.01,29.705,4.67,0.13,0.25,6.56,7.96
남해,2005-08,28.64,29.514,4.64,,,,
동해,2005-08,25.66,33.657,4.33,,,,
남해,2005-08,28.83,29.541,4.56,0.1,0.34,4.47,6.74
남해,2005-08,28.51,29.463,4.72,,,,
동해,2005-08,26.34,33.02,4.96,0.05,0.04,0.61,3.88
남해,2005-08,28.14,29.648000000000003,4.99,0.13,0.37,7.18,4.86
남해,2005-08,27.49,29.942,5.16,,,,
남해,2005-08,27.41,30.197,5.26,0.04,0.55,6.01,2.44
남해,2005-08,26.29,29.617,5.32,,,,
동해,2005-08,26.38,33.464,4.34,,,,
서해,2005-08,25.74,31.923,5.03,0.97,0.15,2.86,5.07
서해,2005-08,25.74,31.923,5.03,0.97,0.15,2.86,5.07
서해,2005-08,25.51,31.783,5.17,0.26,0.1,1.21,5.2
동해,2005-08,25.73,33.494,4.6,0.18,0.13,1.06,2.83
서해,2005-08,26.79,31.824,5.0,0.39,0.08,1.38,4.54
동해,2005-08,20.08,33.001,5.83,,,,
서해,2005-08,26.79,31.737,,,,,
동해,2005-08,24.65,33.011,,,,,
서해,2005-08,26.68,31.806,4.86,0.27,0.1,2.37,4.19
동해,2005-08,24.48,33.71,5.56,0.08,0.1,1.22,2.27
서해,2005-08,26.92,31.882,,,,,
동해,2005-08,23.87,33.589,4.98,,,,
서해,2005-08,26.84,31.81,4.73,0.29,0.19,1.83,1.57
남해,2005-08,26.39,31.253,5.26,,,,
동해,2005-08,22.62,33.515,,0.08,0.15,1.12,3.17
동해,2005-08,23.74,33.379,,,,,
동해,2005-08,23.69,33.357,,,,,
남해,2005-08,26.32,31.057,5.27,0.26,0.33,6.6,3.09
서해,2005-08,26.96,32.019,4.8,0.35,0.08,0.9,1.43
서해,2005-08,27.11,32.031,5.01,0.29,0.12,1.03,1.1
남해,2005-08,27.72,30.133000000000006,5.2,,,,
남해,2005-08,27.77,30.05,5.12,0.25,0.21,8.51,4.33
남해,2005-08,28.34,30.124,5.15,,,,
남해,2005-08,27.93,30.129,5.01,0.12,0.21,4.64,3.24
남해,2005-08,28.58,30.215,5.13,,,,
남해,2005-08,28.79,30.383000000000006,4.93,0.25,0.2,7.16,4.7
서해,2005-08,27.0,31.642,4.79,0.27,0.16,1.44,2.25
남해,2005-08,28.67,29.858,5.02,,,,
서해,2005-08,26.75,31.63,4.72,0.56,0.15,1.0,2.1
서해,2005-08,26.94,31.807,4.94,0.36,0.12,1.02,2.25
서해,2005-08,26.67,31.851,,,,,
서해,2005-08,26.79,31.801,5.04,0.54,0.12,1.01,2.26
서해,2005-08,27.17,31.608,,,,,
서해,2005-08,27.38,31.562,4.74,0.27,0.11,1.57,3.09
서해,2005-08,27.2,31.771,,0.28,0.09,0.63,3.0
서해,2005-08,27.57,31.977,5.2,0.3,0.09,0.76,4.71
서해,2005-08,28.72,32.019,4.74,0.3,0.14,0.56,4.51
서해,2005-08,28.17,31.657,4.8,0.27,0.13,1.06,3.19
서해,2005-08,27.8,32.106,4.89,0.34,0.58,1.46,2.73
남해,2005-08,28.42,29.843000000000004,4.77,0.07,0.21,3.62,5.22
남해,2005-08,27.48,30.581,4.82,,,,
남해,2005-08,26.22,31.065,4.78,0.16,0.19,2.14,4.98
서해,2005-08,28.2,31.78,,,,,
남해,2005-08,25.58,31.532,5.03,,,,
서해,2005-08,28.38,31.938,4.69,0.29,0.23,1.38,2.96
서해,2005-08,27.88,31.96,,,,,
서해,2005-08,27.61,32.036,4.86,0.27,0.14,0.72,2.85
서해,2005-08,27.7,31.755,4.84,0.29,0.06,1.16,2.59
서해,2005-08,28.03,32.346,4.93,0.4,0.06,1.58,3.99
서해,2005-08,27.67,32.306,,,,,
서해,2005-08,28.08,32.435,4.65,0.87,0.17,2.04,4.17
서해,2005-08,28.06,32.525,,,,,
서해,2005-08,27.09,32.539,5.43,0.36,0.09,1.1,4.23
서해,2005-08,26.05,32.685,,,,,
서해,2005-08,19.2,33.469,5.04,0.41,0.21,2.78,6.15
서해,2005-08,23.02,33.111999999999995,,,,,
동해,2005-08,24.8,33.093,,,,,
동해,2005-08,24.65,33.011,,,,,
동해,2005-08,26.1,33.078,5.57,0.02,0.18,1.23,1.58
동해,2005-08,25.78,33.419000000000004,5.88,,,,
동해,2005-08,26.23,33.335,5.88,0.03,0.04,0.55,2.66
동해,2005-08,24.5,33.374,5.87,,,,
동해,2005-08,27.51,33.02,5.77,0.05,0.03,0.8,2.44
동해,2005-08,27.57,33.017,5.21,,,,
동해,2005-08,23.44,33.562,5.62,0.02,0.16,1.35,3.44
동해,2005-08,22.89,33.692,5.77,,,,
동해,2005-08,23.08,33.306999999999995,5.42,0.03,0.1,0.57,3.01
동해,2005-08,24.95,32.733000000000004,5.61,,,,
동해,2005-08,21.79,33.301,5.61,,,,
동해,2005-08,22.64,33.073,5.66,0.17,0.18,0.97,1.96
동해,2005-08,22.64,33.184,5.7,,,,
동해,2005-08,22.72,33.18,5.64,0.05,0.1,1.29,1.17
동해,2005-08,23.6,32.928000000000004,5.54,,,,
동해,2005-08,24.55,32.943000000000005,5.39,0.04,0.04,0.86,2.37
동해,2005-08,22.37,32.725,5.43,,,,
동해,2005-08,20.27,33.133,5.66,0.06,0.08,0.78,3.27
동해,2005-08,20.14,33.736,6.09,,,,
동해,2005-08,21.91,33.669000000000004,5.84,0.04,0.04,0.58,3.81
동해,2005-08,23.23,32.104,5.74,,,,
동해,2005-08,22.87,32.031,,0.02,0.05,0.44,1.66
동해,2005-08,22.64,32.195,,,,,
동해,2005-08,22.81,32.176,,0.07,0.2,0.49,1.81
동해,2005-08,22.18,32.523,5.34,,,,
동해,2005-08,22.76,32.643,6.16,0.04,0.04,0.52,1.69
동해,2005-08,22.46,33.131,5.34,,,,
동해,2005-08,22.62,33.866,5.45,0.16,0.56,3.97,0.14
동해,2005-08,22.44,33.943000000000005,5.21,,,,
동해,2005-08,22.54,33.836,5.46,0.16,0.1,0.37,2.15
동해,2005-08,23.53,33.079,5.84,0.12,0.18,0.43,2.68
동해,2005-08,21.06,33.001,5.85,,,,
동해,2005-08,20.42,33.374,5.47,0.13,0.2,0.42,5.36
동해,2005-08,22.58,33.265,5.33,,,,
동해,2005-08,22.66,33.895,5.29,0.1,0.2,0.43,3.82
동해,2005-08,22.76,33.881,5.36,,,,
동해,2005-08,23.18,33.825,5.41,0.1,0.2,0.53,2.53
동해,2005-08,22.62,32.281,5.43,,,,
동해,2005-08,22.5,32.198,5.51,0.13,0.1,1.58,2.45
동해,2005-08,22.79,32.435,,,,,
동중국해,2006-08,29.19,31.394,6.11,0.21,0.09,7.82,1.89
동중국해,2006-08,29.04,31.374,5.32,0.19,0.17,9.82,11.76
동중국해,2006-08,28.66,29.731,6.09,,,,
동중국해,2006-08,28.21,30.324,5.46,0.2,0.21,3.82,5.65
동중국해,2006-08,28.25,30.776,5.2,0.17,0.22,2.85,5.96
동중국해,2006-08,28.43,31.524,4.91,0.2,0.04,4.5,1.19
동중국해,2006-08,28.91,32.327,4.86,0.31,0.02,3.57,1.07
동중국해,2006-08,28.71,29.059,4.34,0.55,0.15,5.43,7.9
동중국해,2006-08,29.23,32.075,5.14,0.64,0.27,4.09,8.83
동중국해,2006-08,29.16,31.984,4.4,,,,
동중국해,2006-08,29.19,31.568,4.89,0.15,0.09,7.72,1.63
동중국해,2006-08,29.78,28.678,4.94,0.13,,,1.12
동중국해,2006-08,28.6,30.748,5.11,0.1,0.13,5.07,1.68
동중국해,2006-08,28.71,29.059,4.34,0.55,0.15,5.43,7.9
동중국해,2006-08,28.46,29.911,2.23,0.16,0.28,4.23,6.76
동중국해,2006-08,28.56,28.584,5.03,0.49,0.28,6.01,8.88
동중국해,2006-08,28.68,29.014,5.0,,,,
동중국해,2006-08,28.86,29.238000000000003,5.2,0.11,,,5.98
동중국해,2006-08,28.6,30.301,4.74,,,,
동중국해,2006-08,29.06,31.762,4.71,0.12,0.26,1.91,10.52
동중국해,2006-08,29.21,31.483,5.03,,,,
동중국해,2006-08,29.76,32.551,4.71,0.08,0.09,7.02,3.15
동중국해,2006-08,29.95,30.681,3.34,0.13,0.17,3.75,7.09
동중국해,2006-08,29.3,30.618,4.83,,,,
동중국해,2006-08,29.2,30.834,4.89,0.14,0.31,5.07,4.63
동중국해,2006-08,28.96,30.633000000000006,3.23,0.09,0.15,5.49,5.82
동중국해,2006-08,28.76,29.388,5.26,0.08,0.09,4.96,8.31
동중국해,2006-08,28.8,28.682,4.89,,,,
동중국해,2006-08,28.88,29.957,5.2,0.14,0.14,7.45,1.61
동중국해,2006-08,28.63,28.155,5.23,,,,
동중국해,2006-08,28.83,28.281,5.34,0.11,0.25,6.18,2.18
동중국해,2006-08,28.82,27.372,5.09,,,,
동중국해,2006-08,29.34,25.175,5.4,0.09,0.05,10.01,2.84
남해,2006-08,28.05,29.68,6.43,,,,
남해,2006-08,28.96,29.56,6.02,,,,
남해,2006-08,29.23,29.831,5.78,,,,
남해,2006-08,29.42,29.391,6.49,,,,
남해,2006-08,28.54,29.582,6.18,,,,
남해,2006-08,26.08,30.846,5.64,,,,
남해,2006-08,26.25,30.317,5.51,,,,
남해,2006-08,28.08,30.509,4.84,,,,
남해,2006-08,29.16,30.018,4.92,,,,
남해,2006-08,28.99,29.622,4.72,,,,
남해,2006-08,29.66,28.447,4.82,,,,
남해,2006-08,29.37,29.178,4.9,,,,
남해,2006-08,28.68,29.391,4.94,,,,
남해,2006-08,30.18,31.088,4.82,,,,
남해,2006-08,29.99,30.668000000000006,4.9,,,,
남해,2006-08,29.99,30.668000000000006,4.9,,,,
남해,2006-08,29.4,29.756,5.04,,,,
남해,2006-08,29.36,28.129,5.06,,,,
남해,2006-08,27.64,29.292,5.1,,,,
남해,2006-08,26.59,30.777,5.9,0.08,0.01,14.74,3.11
남해,2006-08,27.23,30.362,5.82,,,,
남해,2006-08,26.67,30.231,5.82,,,,
남해,2006-08,23.52,31.096,5.53,,,,
남해,2006-08,27.43,29.501,5.64,0.09,0.08,1.25,1.19
남해,2006-08,28.29,28.878,5.13,,,,
서해,2006-08,20.16,30.772,6.07,0.31,0.38,14.01,3.31
남해,2006-08,29.58,28.031,5.02,0.14,0.02,0.3,1.47
서해,2006-08,24.67,31.678,6.79,,,,
남해,2006-08,29.21,28.154,5.4,,,,
서해,2006-08,25.61,31.085,5.78,0.11,0.03,8.26,2.55
남해,2006-08,27.84,30.332,5.38,0.11,0.02,13.33,5.8
서해,2006-08,27.82,31.71,,,,,
서해,2006-08,27.94,32.047,5.63,0.1,0.39,2.91,1.26
서해,2006-08,27.45,32.096,,,,,
서해,2006-08,28.03,32.142,5.21,0.1,0.46,1.51,1.36
서해,2006-08,28.38,32.058,5.24,,,,
서해,2006-08,27.23,31.949,5.18,,,,
서해,2006-08,28.35,31.999,5.88,0.13,0.13,0.35,1.09
서해,2006-08,28.44,32.03,,,,,
서해,2006-08,28.61,31.547,5.07,0.14,0.06,0.89,1.01
서해,2006-08,28.32,31.643,5.17,,,,
서해,2006-08,28.29,31.828000000000007,5.14,0.11,,0.81,1.18
서해,2006-08,27.81,31.9,,,,,
서해,2006-08,25.45,30.294,7.23,0.18,0.02,7.43,3.25
서해,2006-08,26.54,29.709,,,,,
서해,2006-08,24.46,30.297,7.01,0.18,,0.22,6.02
서해,2006-08,27.37,28.982,8.74,0.24,0.07,10.01,6.5
서해,2006-08,27.18,30.609,6.07,,,,
서해,2006-08,27.95,30.729,6.0,0.21,2.28,15.57,5.9
서해,2006-08,29.15,30.958,,,,,
서해,2006-08,28.28,31.019,5.51,0.09,,3.66,4.6
서해,2006-08,29.1,31.405,,,,,
서해,2006-08,29.23,31.467,5.13,0.09,1.36,1.67,1.25
서해,2006-08,29.37,31.39,5.01,,,,
서해,2006-08,29.0,31.112,5.1,0.28,0.07,0.25,1.1
서해,2006-08,29.07,31.345,4.87,,,,
서해,2006-08,29.18,31.292,4.86,,,,
서해,2006-08,29.09,31.344,4.93,0.21,0.18,6.23,1.3
서해,2006-08,29.26,30.999,,,,,
남해,2006-08,28.6,30.417,5.47,,,,
서해,2006-08,29.25,30.809,5.13,0.07,0.01,10.62,3.57
남해,2006-08,29.48,29.965,5.32,,,,
서해,2006-08,28.92,30.662,,,,,
남해,2006-08,29.73,30.278,4.84,,,,
서해,2006-08,28.66,30.722,5.41,0.14,0.01,1.0,4.9
남해,2006-08,30.27,30.456,4.8,,,,
서해,2006-08,27.24,31.236,6.59,,,,
서해,2006-08,24.7,31.484,6.07,0.31,0.02,7.45,7.41
남해,2006-08,29.93,30.826,4.49,,,,
남해,2006-08,29.94,28.976,4.72,,,,
남해,2006-08,29.89,29.005,4.81,,,,
남해,2006-08,29.71,29.017,5.0,,,,
남해,2006-08,29.52,28.894,5.01,,,,
남해,2006-08,29.57,27.838,4.84,,,,
남해,2006-08,29.73,27.635,4.92,,,,
남해,2006-08,29.85,27.488000000000003,4.9,,,,
남해,2006-08,29.71,26.708,4.86,,,,
남해,2006-08,29.57,24.736,4.92,,,,
남해,2006-08,30.18,27.53,5.14,,,,
남해,2006-08,29.54,27.987,5.27,,,,
남해,2006-08,29.85,26.74,5.31,,,,
남해,2006-08,30.06,25.441,5.32,,,,
남해,2006-08,29.37,27.138,5.43,,,,
남해,2006-08,29.85,26.607,5.66,,,,
남해,2006-08,30.06,27.368,5.42,,,,
남해,2006-08,29.54,27.826,5.15,,,,
남해,2006-08,29.82,27.571,5.24,,,,
남해,2006-08,29.03,27.988000000000003,5.44,0.09,0.06,0.13,4.25
남해,2006-08,29.79,27.37,5.45,,,,
남해,2006-08,28.1,28.037,5.5,0.08,0.19,2.86,1.37
남해,2006-08,28.4,28.29,5.4,,,,
서해,2006-08,21.38,31.544,5.45,,,,
서해,2006-08,18.74,32.094,6.28,0.28,0.06,2.54,8.3
서해,2006-08,21.53,31.622,,,,,
서해,2006-08,30.12,30.076,5.25,0.27,0.01,3.21,2.47
서해,2006-08,29.23,30.901,,,,,
서해,2006-08,31.32,30.846,4.7,0.13,2.36,19.14,2.91
서해,2006-08,30.61,30.619,4.71,,,,
서해,2006-08,31.05,30.611,4.97,,,,
서해,2006-08,31.14,30.762,4.83,0.44,0.02,5.4,2.04
서해,2006-08,30.68,30.816,,,,,
서해,2006-08,28.76,28.807,5.44,0.14,0.09,3.71,2.17
서해,2006-08,29.5,27.434,,,,,
서해,2006-08,24.52,30.921,5.41,0.11,0.09,9.39,4.62
서해,2006-08,23.38,31.066,,,,,
서해,2006-08,28.66,29.792,5.51,0.18,0.16,6.74,2.64
서해,2006-08,27.96,30.011,,,,,
동해,2006-08,23.88,32.542,4.27,,,,
동해,2006-08,24.73,31.452,4.61,0.16,0.03,3.88,1.69
동해,2006-08,24.31,31.889,4.51,,,,
동해,2006-08,23.56,31.887,4.67,0.18,0.1,10.87,1.54
동해,2006-08,24.66,31.795,4.27,,,,
동해,2006-08,23.75,32.302,4.46,0.08,0.01,7.27,3.07
동해,2006-08,22.69,32.941,4.69,,,,
동해,2006-08,23.39,33.205,4.28,0.09,0.08,5.65,4.3
동해,2006-08,23.23,32.399,4.68,0.22,0.02,10.83,4.51
동해,2006-08,23.48,32.391,4.76,,,,
동해,2006-08,23.21,32.616,4.98,0.2,0.02,3.49,3.34
동해,2006-08,23.36,32.955,4.82,,,,
동해,2006-08,23.94,33.179,4.76,0.15,0.05,10.15,3.75
동해,2006-08,24.3,33.217,4.78,,,,
동해,2006-08,23.06,32.958,4.67,0.07,,7.96,4.09
동해,2006-08,24.17,32.2,4.78,,,,
동해,2006-08,24.45,31.657,4.3,0.11,0.07,1.18,1.94
동해,2006-08,24.81,31.446,4.8,,,,
동중국해,2007-08,29.79,32.813,8.1523,0.133,0.0134,5.5099,3.5724
동중국해,2007-08,28.81,32.244,5.544,,,,
동중국해,2007-08,29.18,31.996,4.8934,0.2498,0.0314,1.2465,6.4937
동중국해,2007-08,28.55,30.954,5.6859,0.0319,0.0041,0.7231,9.54
동중국해,2007-08,28.71,31.027,5.6006,0.0775,0.0122,0.1159,5.3891
동중국해,2007-08,29.33,30.865,5.9683,0.0571,0.1036,3.2049,3.4389
동중국해,2007-08,29.3,25.417,5.742000000000001,0.2181,0.2455,9.8885,4.2856
동중국해,2007-08,29.68,25.864,5.7708,0.1402,,,4.3871
동중국해,2007-08,29.62,27.213,5.6854,0.049,0.1604,8.7441,4.7359
동중국해,2007-08,29.64,27.497,5.6022,0.1024,0.2376,7.8772,4.4295
동중국해,2007-08,28.03,24.248,6.478,0.2497,,,5.6796
동중국해,2007-08,28.06,28.93,6.1132,0.1115,0.1675,1.8282,4.0262
동중국해,2007-08,28.99,27.194000000000006,6.0531,0.0484,0.3397,5.8911,1.8512
동중국해,2007-08,28.93,28.54,5.7137,0.1484,0.1142,1.9342,1.7154
동중국해,2007-08,28.34,31.015,5.1197,0.1172,0.0313,0.0527,3.8039
동중국해,2007-08,28.72,30.952,5.4591,0.0652,0.0241,0.0024,3.4636
